Timestamp,Are you voting on Sri Lanka Presidential Election 2019?,What is the province that your polling station is located?,"According to your understanding, please rate each of the below candidates based on their ""vision"" for the country. [Rohan Pallewatta]","According to your understanding, please rate each of the below candidates based on their ""vision"" for the country. [Anura Kumara Dissanayaka]","According to your understanding, please rate each of the below candidates based on their ""vision"" for the country. [Gotabaya Rajapakasa]","According to your understanding, please rate each of the below candidates based on their ""vision"" for the country. [Sajith Premadasa]","According to your understanding, please rate each of the below candidates based on their ""vision"" for the country. [Mahesh Senanayaka]","According to your understanding, please rate your candidates based on their policy and plan on ""Economic Development"". [Anura Kumara Dissanayaka]","According to your understanding, please rate your candidates based on their policy and plan on ""Economic Development"". [Rohan Pallewatta]","According to your understanding, please rate your candidates based on their policy and plan on ""Economic Development"". [Sajith Premadasa]","According to your understanding, please rate your candidates based on their policy and plan on ""Economic Development"". [Gotabaya Rajapaksa]","According to your understanding, please rate your candidates based on their policy and plan on ""Economic Development"". [Mahesh Senanayaka]","According to your understanding, please rate your candidates based on their policy and plan on ""National Security"". [Mahesh Senanayaka]","According to your understanding, please rate your candidates based on their policy and plan on ""National Security"". [Sajith Premadasa]","According to your understanding, please rate your candidates based on their policy and plan on ""National Security"". [Gotabaya Rajapakasa]","According to your understanding, please rate your candidates based on their policy and plan on ""National Security"". [Anura Kumara Dissanayaka]","According to your understanding, please rate your candidates based on their policy and plan on ""National Security"". [Rohan Pallewatta]","According to your understanding, please rate your candidates based on their policy and plan on ""Education"". [Mahesh Senanayaka]","According to your understanding, please rate your candidates based on their policy and plan on ""Education"". [Sajith Premadasa]","According to your understanding, please rate your candidates based on their policy and plan on ""Education"". [Gotabaya Rajapakasa]","According to your understanding, please rate your candidates based on their policy and plan on ""Education"". [Anura Kumara Dissanayaka]","According to your understanding, please rate your candidates based on their policy and plan on ""Education"". [Rohan Pallewatta]","According to your understanding, please rate your candidates based on their policy and plan on ""Social Empowerment"". [Rohan Pallewatta]","According to your understanding, please rate your candidates based on their policy and plan on ""Social Empowerment"". [Anura Kumara Dissanayaka]","According to your understanding, please rate your candidates based on their policy and plan on ""Social Empowerment"". [Gotabaya Rajapakasa]","According to your understanding, please rate your candidates based on their policy and plan on ""Social Empowerment"". [Sajith Premadasa]","According to your understanding, please rate your candidates based on their policy and plan on ""Social Empowerment"". [Mahesh Senanayaka]","According to your understanding, please rate your candidates based on their policy and plan on ""Foreign Affairs"". [Rohan Pallewatta]","According to your understanding, please rate your candidates based on their policy and plan on ""Foreign Affairs"". [Anura Kumara Dissanayaka]","According to your understanding, please rate your candidates based on their policy and plan on ""Foreign Affairs"". [Gotabaya Rajapakasa]","According to your understanding, please rate your candidates based on their policy and plan on ""Foreign Affairs"". [Sajith Premadasa]","According to your understanding, please rate your candidates based on their policy and plan on ""Foreign Affairs"". [Mahesh Senanayaka]","According to your understanding, please rate your candidates based on their policy and plan on ""National Unity and Reconciliation"". [Rohan Pallewatta]","According to your understanding, please rate your candidates based on their policy and plan on ""National Unity and Reconciliation"". [Anura Kumara Dissanayaka]","According to your understanding, please rate your candidates based on their policy and plan on ""National Unity and Reconciliation"". [Gotabaya Rajapakasa]","According to your understanding, please rate your candidates based on their policy and plan on ""National Unity and Reconciliation"". [Sajith Premadasa]","According to your understanding, please rate your candidates based on their policy and plan on ""National Unity and Reconciliation"". [Mahesh Senanayaka]",Please mention your age range.,Please mention your gender,What is your highest educational qualification?,What is your monthly income?,Your Ethnicity / Race,For whom will you vote?,Who will win the Presidential Election 2019?,Comments
30/10/2019 03:12:07,No,Western,Poor,Fair,Excellent,Poor,Fair,Fair,Fair,Poor,Very good,Poor,Very good,Poor,Excellent,Poor,Poor,Fair,Poor,Excellent,Poor,Poor,Poor,Poor,Satisfactory,Poor,Fair,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Excellent,Poor,Fair,23-29,Female,Bachelors Degree,80000 - 120000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
30/10/2019 04:20:59,Yes,South,Poor,Fair,Poor,Fair,Fair,Fair,Poor,Satisfactory,Poor,Fair,Satisfactory,Satisfactory,Fair,Fair,Fair,Satisfactory,Satisfactory,Poor,Satisfactory,Poor,Fair,Satisfactory,Poor,Satisfactory,Satisfactory,Fair,Fair,Poor,Satisfactory,Fair,Fair,Satisfactory,Poor,Satisfactory,Satisfactory,48-53,Male,O/L,40000 - 80000,Sinhala,Sajith Premadasa,Sajith Premadasa,
30/10/2019 04:43:31,Yes,Central,Satisfactory,Poor,Excellent,Poor,Poor,Poor,Very good,Poor,Excellent,Poor,Satisfactory,Poor,Excellent,Poor,Poor,Fair,Poor,Excellent,Satisfactory,Satisfactory,Very good,Poor,Excellent,Poor,Poor,Satisfactory,Poor,Excellent,Fair,Poor,Fair,Poor,Excellent,Poor,Poor,23-29,Male,Higher Diploma,10000 - 40000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,gota will be a good president.
30/10/2019 05:00:15,Yes,Sabaragamuwa,Poor,Poor,Satisfactory,Poor,Poor,Poor,Poor,Poor,Fair,Poor,Poor,Poor,Satisfactory,Poor,Poor,Poor,Poor,Fair,Poor,Poor,Poor,Poor,Fair,Poor,Poor,Poor,Poor,Fair,Poor,Poor,Poor,Poor,Fair,Poor,Poor,30-35,Male,Postgraduate Diploma,120000 - 160000,Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
30/10/2019 06:20:56,Yes,Western,Fair,Fair,Poor,Fair,Fair,Fair,Fair,Fair,Poor,Fair,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Poor,Satisfactory,Fair,Satisfactory,Fair,Poor,Fair,Poor,Fair,Poor,Poor,Poor,Poor,Fair,Poor,Poor,Satisfactory,Poor,Satisfactory,Poor,72-77,Male,Higher Diploma,40000 - 80000,Sinhala,Sajith Premadasa,Sajith Premadasa,
30/10/2019 06:26:01,Yes,Central,Satisfactory,Very good,Poor,Poor,Fair,Very good,Very good,Poor,Poor,Fair,Very good,Poor,Satisfactory,Fair,Poor,Fair,Fair,Fair,Fair,Satisfactory,Fair,Fair,Satisfactory,Satisfactory,Fair,Very good,Fair,Fair,Fair,Fair,Fair,Very good,Fair,Very good,Fair,30-35,Male,Bachelors Degree,200000 - 240000,Sinhala,Anura Kumara Dissanayaka,Gotabaya Rajapakasa,
30/10/2019 06:56:55,Yes,Western,Satisfactory,Satisfactory,Poor,Fair,Excellent,Satisfactory,Satisfactory,Fair,Poor,Excellent,Excellent,Fair,Fair,Fair,Fair,Excellent,Satisfactory,Fair,Satisfactory,Fair,Fair,Excellent,Fair,Fair,Excellent,Satisfactory,Fair,Fair,Satisfactory,Excellent,Satisfactory,Satisfactory,Fair,Fair,Excellent,23-29,Male,Diploma,40000 - 80000,Sinhala,Mahesh Senanayaka,Sajith Premadasa,
30/10/2019 07:01:21,Yes,North Western,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,18-23,Male,Bachelors Degree,"No income, dependent",Sinhala,Gotabaya Rajapakasa,Gotabaya Rajapakasa,
30/10/2019 07:04:53,Yes,Eastern,Poor,Fair,Satisfactory,Satisfactory,Poor,Satisfactory,Poor,Satisfactory,Fair,Poor,Poor,Fair,Satisfactory,Fair,Poor,Fair,Satisfactory,Fair,Satisfactory,Poor,Fair,Fair,Fair,Fair,Fair,Poor,Fair,Satisfactory,Fair,Poor,Poor,Satisfactory,Fair,Satisfactory,Poor,30-35,Male,Higher Diploma,40000 - 80000,Tamil,Sajith Premadasa,Sajith Premadasa,
30/10/2019 07:42:58,Yes,Sabaragamuwa,Satisfactory,Fair,Poor,Very good,Excellent,Satisfactory,Satisfactory,Satisfactory,Poor,Excellent,Excellent,Satisfactory,Fair,Satisfactory,Satisfactory,Very good,Satisfactory,Fair,Satisfactory,Very good,Satisfactory,Satisfactory,Fair,Satisfactory,Satisfactory,Very good,Satisfactory,Poor,Very good,Satisfactory,Satisfactory,Satisfactory,Fair,Satisfactory,Satisfactory,23-29,Male,Higher Diploma,80000 - 120000,Sinhala,Sajith Premadasa,Sajith Premadasa,
30/10/2019 09:47:05,Maybe,South,Fair,Very good,Poor,Poor,Satisfactory,Satisfactory,Poor,Poor,Poor,Poor,Fair,Poor,Fair,Satisfactory,Poor,Poor,Poor,Poor,Satisfactory,Poor,Fair,Very good,Fair,Fair,Poor,Poor,Poor,Poor,Poor,Poor,Fair,Very good,Poor,Poor,Fair,42-47,Male,Masters Degree,320000 - above,Sinhala,Anura Kumara Dissanayaka,Gotabaya Rajapakasa,
